origin_zip,destination_zip,date,carrier,order_type,origin_lat,origin_lng,destination_lat,destination_lng,miles,rate,RPM
93109,90802,2025-08-11,C.H. Robinson,export,34.406408,-119.726927,33.745762,-118.208042,98.11,555.44,5.66
90802,90241,2024-09-17,MTK Transportation,import,33.745762,-118.208042,33.940445,-118.129022,14.19,321.28,22.65
90802,93208,2024-11-14,JT Freight Trucking,import,33.745762,-118.208042,36.056587,-118.568462,160.85,741.05,4.61
90802,91010,2025-01-06,Ape Express Trucking,import,33.745762,-118.208042,34.141586,-117.957627,30.87,392.67,12.72
90802,91377,2024-12-16,MTK Transportation,import,33.745762,-118.208042,34.184974,-118.766912,44.09,403.17,9.14
90802,93304,2025-04-13,XPO Logistics,import,33.745762,-118.208042,35.339702,-119.023452,119.42,627.53,5.25
90802,91605,2024-11-13,Amazon Trucking,import,33.745762,-118.208042,34.207341,-118.400973,33.73,380.52,11.28
90802,92624,2024-08-21,MTK Transportation,import,33.745762,-118.208042,33.449184,-117.655588,37.8,392.97,10.4
90802,92672,2025-04-30,Schneider National,import,33.745762,-118.208042,33.42411,-117.606775,41.1,412.74,10.04
90802,92029,2024-12-09,United Logistic Services Group,import,33.745762,-118.208042,33.0824,-117.127641,77.3,477.72,6.18
90802,91722,2024-11-22,C.H. Robinson,import,33.745762,-118.208042,34.097345,-117.906736,29.79,371.28,12.46
90802,90032,2025-02-05,Ecology Auto Parts,import,33.745762,-118.208042,34.078294,-118.185785,23.0,362.56,15.77
90802,93109,2024-11-22,Dependable Highway Express,import,33.745762,-118.208042,34.406408,-119.726927,98.11,530.17,5.4
90802,91401,2025-02-13,J.B. Hunt Transport,import,33.745762,-118.208042,34.178483,-118.431791,32.51,383.86,11.81
90802,91210,2024-09-19,United Logistic Services Group,import,33.745762,-118.208042,34.144557,-118.256507,27.67,368.71,13.32
90802,91755,2024-10-06,All Seasons Trucking LLC,import,33.745762,-118.208042,34.050965,-118.114394,21.75,362.23,16.66
92672,90802,2024-09-10,Airborne Freight Lines,export,33.42411,-117.606775,33.745762,-118.208042,41.1,410.2,9.98
90802,92395,2024-09-08,Alliance Specialized,import,33.745762,-118.208042,34.501472,-117.292048,73.92,485.12,6.56
90802,91107,2025-04-06,J.B. Hunt Transport,import,33.745762,-118.208042,34.155533,-118.086178,29.14,383.28,13.15
93422,90802,2024-10-27,Amazon Trucking,export,35.465349,-120.689439,33.745762,-118.208042,184.33,807.47,4.38
90802,92591,2024-12-12,C.H. Robinson,import,33.745762,-118.208042,33.535237,-117.104864,65.06,444.46,6.83
93555,90802,2024-08-28,MTZ Trucking LLC,export,35.606509,-117.683472,33.745762,-118.208042,131.88,655.39,4.97
93272,90802,2025-06-19,J.B. Hunt Transport,export,36.047414,-119.344304,33.745762,-118.208042,171.45,794.31,4.63
90802,91316,2025-01-07,JYC Trucking LLC,import,33.745762,-118.208042,34.160236,-118.515472,33.6,390.37,11.62
